Local,Nombre,Precio,Cantidad
Metro,Pan Fibra Unión Bolsa ,6.30,540 g
Metro,Azúcar Rubia Dulfina Bolsa ,9.00,2 kg
Metro,Azúcar Rubia Paramonga ,4.95,1kg
Metro,Mermelada de Fresa Gloria ,5.99,320g
Metro,Avena Precocida 3 Ositos ,11.90,900g
Metro,Nesquik Nestlé de Chocolate Lata ,12.50,400 g
Metro,Café Instantáneo Liofilizado Altomayo Gourmet ,28.90,180g
Metro,Avena Grano de Oro ,4.70,500g
Metro,Café Molido y Tostado Cuisine & Co ,14.50,500g
Metro,"Pan Pita Integral con Semillas de Chía, Linaza y Quinua Unión Bolsa ",3.75,10 unid
Metro,Pan Pita Integral Granos Andinos Unión Bolsa ,3.75,10 unid
Metro,Cereal en Barra Cereal Bar ,4.49,168 g Golden
Metro,Cereal en Barra Cereal Bar ,4.49,168 g Chocolate
Metro,Cereal en Barra Cereal Bar ,4.49,168 g
Metro,Cuisine & Co Anís para Infusión Caja ,8.49,100 unid
Metro,Cuisine & Co Manzanilla para Infusión Caja ,8.49,100 unid
Metro,"Cuisine & Co Té, Canela y Clavo para Infusión Caja ",2.59,20 unid
Metro,Té Canela y Clavo Caja ,7.60,100 Sobres
Metro,Mermelada de Fresa Doypack 800 g,9.30,Pack
Metro,Café Instantáneo Altomayo Gourmet Doypack 160 g,26.00,Pack
Metro,Pan Pita Cero Bimbo Bolsa ,7.70,10 unid
Metro,Hojuelas de Avena y Quinua Precocidas Quinua Avena Premium 3 Ositos Bolsa ,12.90,1 Kg
Metro,Azúcar Blanca Cuisine&Co Bolsa ,23.50,5 kg
Metro,Azúcar Blanca Cuisine&Co Bolsa ,5.10,1 kg
Metro,Mantequilla de Maní Cuisine&Co Frasco ,19.50,410 g
Metro,Tortillas con Salvado Cuisine&Co Paquete ,8.50,12 Unidades
Metro,Tortillas Tradicionales Cuisine&Co Paquete ,8.50,12 Unidades
Metro,Mermelada de Naranja Cuisine & Co Frasco ,5.90,370 g
Metro,Infusión de Anís Hornimans Caja ,8.99,100 unid
Metro,Granola Trozos de Chocolate Cuisine & Co ,9.90,300g
Metro,Azúcar Rubia Dulfina Bolsa ,21.95,5 kg
Metro,Azúcar Blanca Metro Bolsa ,9.10,2 Kg
Metro,Té Sabor Naranja Caja ,2.50,25 Sobres
Metro,Avena Natural Santa Catalina ,11.99,900g
